tag_id,scaffold_id,terminus,num_msa_hits,af2_rmsd,af2_mean_bfactor,af2_fix_rmsd,af2_fix_mean_bfactor,af3_rmsd,af3_mean_bfactor,af3_fix_rmsd,af3_fix_mean_bfactor,esm_rmsd,esm_mean_bfactor,esm_argmax_rmsd,esm_argmax_mean_bfactor,af3_rmsd_delta,af3_rmsd_ratio,af3_rmsd_abs_delta,af3_bfactor_delta,af3_bfactor_ratio,af3_bfactor_abs_delta,af3_rmsd_abs_delta_normalized,af3_bfactor_abs_delta_normalized,max_normalized_delta,combined_delta_score,msa_category
6mbm,no_scaffold,,0,1.4514524936676023,86.50812499999999,,,0.681188702583313,98.03270833333332,,,1.2041847705841064,0.866875,1.1348278522491455,0.8175,,,,,,,,,,0.0,Shallow
6mbm,GFP,N,0,3.291919469833374,36.511875,3.5524916648864746,43.520625,1.7745634317398071,37.693333333333335,2.488369464874268,36.05854166666666,5.838878631591797,0.745,1.3079437017440796,0.3931249999999999,-0.7138060331344609,0.7131430668915848,0.7138060331344609,1.634791666666672,1.045337154280366,1.634791666666672,-0.26008070236739744,-0.4762452259613774,-0.26008070236739744,-0.7363259283287749,Shallow
6mbm,GFP,C,0,1.3163789510726929,60.540625,1.5905860662460327,47.481875,1.2901264429092407,65.78937499999999,1.3055009841918943,63.93895833333334,1.2979352474212646,0.5662499999999999,2.247579574584961,0.368125,-0.015374541282653587,0.9882232633534395,0.015374541282653587,1.8504166666666535,1.0289403630415725,1.8504166666666535,-0.5473063657847678,-0.45780618150413416,-0.45780618150413416,-1.005112547288902,Shallow
6mbm,SUMO,N,0,1.273101568222046,69.48375,1.3101640939712524,68.86874999999999,1.1954786777496338,69.09708333333333,1.3198033571243286,71.41958333333334,1.172061800956726,0.8806249999999999,1.2763705253601074,0.5837500000000001,-0.12432467937469482,0.9058006037766252,0.12432467937469482,-2.322500000000005,0.9674809080142583,2.322500000000005,-0.5025012903292921,-0.4174362542189955,-0.4174362542189955,-0.9199375445482876,Shallow
6mbm,SUMO,C,0,1.36889910697937,61.71812500000001,1.183319926261902,58.459375,3.818303108215332,58.09291666666667,1.0535043478012085,75.10812500000002,1.2847038507461548,0.7537499999999998,1.4700788259506226,0.5225000000000001,2.7647987604141235,3.6243828667481006,2.7647987604141235,-17.015208333333348,0.7734571548240174,17.015208333333348,0.5833774658706653,0.8390020166478593,0.8390020166478593,1.4223794825185245,Shallow
6mbm,GST,N,0,1.243319034576416,45.61750000000001,1.3062143325805664,46.50812500000001,1.1782149076461792,72.6425,1.2044895887374878,73.70708333333334,,,1.1619542837142944,0.4943749999999999,-0.026274681091308594,0.9781860454943002,0.026274681091308594,-1.0645833333333456,0.9855565668157175,1.0645833333333456,-0.5428237502034141,-0.5250062546372021,-0.5250062546372021,-1.0678300048406162,Shallow
6mbm,GST,C,0,1.452223300933838,49.640625,1.6518785953521729,44.205625,1.469293236732483,57.78145833333334,1.4500333070755005,54.89833333333333,1.2709583044052124,0.6818750000000001,1.4824118614196775,0.4175,0.019259929656982422,1.013282405006149,0.019259929656982422,2.883125000000007,1.0525175324083913,2.883125000000007,-0.5457085236678669,-0.36949473863015875,-0.36949473863015875,-0.9152032622980257,Shallow
6mbm,MBP,N,0,6.215950012207031,38.154375,1.4274863004684448,42.78375,4.060022354125977,34.2625,1.4598370790481567,60.86979166666666,1.1959278583526611,0.7668750000000001,1.5034639835357666,0.574375,2.60018527507782,2.7811475762577516,2.60018527507782,-26.607291666666654,0.5628818345169848,26.607291666666654,0.5156811805731554,1.6592633547159419,1.6592633547159419,2.1749445352890975,Shallow
6mbm,MBP,C,0,1.228618860244751,49.371875,1.2309699058532717,46.79625000000001,1.209591269493103,64.53833333333334,1.2092680931091309,62.864166666666655,,,1.274872899055481,0.51375,0.00032317638397216797,1.0002672495750229,0.00032317638397216797,1.674166666666686,1.0266314938292884,1.674166666666686,-0.5534961472004059,-0.4728780961039663,-0.4728780961039663,-1.026374243304372,Shallow
2lg6,no_scaffold,,640,2.26528549194336,84.55805555555553,,,2.5386202335357666,95.40222222222222,,,2.2464325428009038,0.9013888888888888,2.482362031936645,0.7950000000000002,,,,,,,,,,0.0,Deep
