tag_id,scaffold_id,terminus,num_msa_hits,af2_rmsd,af2_mean_bfactor,af2_fix_rmsd,af2_fix_mean_bfactor,af3_rmsd,af3_mean_bfactor,af3_fix_rmsd,af3_fix_mean_bfactor,esm_rmsd,esm_mean_bfactor,esm_argmax_rmsd,esm_argmax_mean_bfactor
6mbm,no_scaffold,,0,1.4514524936676025,86.50812499999999,,,0.681188702583313,98.03270833333333,,,1.2041847705841064,0.866875,1.1348278522491455,0.8175
6mbm,GFP,N,0,3.291919469833374,36.511875,3.5524916648864746,43.520624999999995,1.7745634317398071,37.693333333333335,2.4883694648742676,36.05854166666666,5.838878631591797,0.745,1.3079437017440796,0.39312499999999995
6mbm,GFP,C,0,1.3163789510726929,60.540625,1.5905860662460327,47.481875,1.2901264429092407,65.78937499999999,1.3055009841918945,63.93895833333334,1.2979352474212646,0.5662499999999999,2.247579574584961,0.36812500000000004
6mbm,SUMO,N,0,1.273101568222046,69.48375,1.3101640939712524,68.86874999999999,1.1954786777496338,69.09708333333333,1.3198033571243286,71.41958333333334,1.172061800956726,0.8806249999999999,1.2763705253601074,0.5837500000000001
6mbm,SUMO,C,0,1.3688991069793701,61.71812500000001,1.1833199262619019,58.459374999999994,3.818303108215332,58.09291666666667,1.0535043478012085,75.10812500000002,1.2847038507461548,0.7537499999999998,1.4700788259506226,0.5225000000000001
6mbm,GST,N,0,1.243319034576416,45.61750000000001,1.3062143325805664,46.50812500000001,1.1782149076461792,72.6425,1.2044895887374878,73.70708333333334,,,1.1619542837142944,0.49437499999999995
6mbm,GST,C,0,1.452223300933838,49.640625,1.6518785953521729,44.205625,1.469293236732483,57.78145833333334,1.4500333070755005,54.89833333333333,1.2709583044052124,0.6818750000000001,1.4824118614196777,0.4175
6mbm,MBP,N,0,6.215950012207031,38.154374999999995,1.4274863004684448,42.78375,4.060022354125977,34.262499999999996,1.4598370790481567,60.869791666666664,1.1959278583526611,0.7668750000000001,1.5034639835357666,0.574375
6mbm,MBP,C,0,1.228618860244751,49.371874999999996,1.2309699058532715,46.79625000000001,1.209591269493103,64.53833333333334,1.2092680931091309,62.864166666666655,,,1.274872899055481,0.51375
2lg6,no_scaffold,,640,2.2652854919433594,84.55805555555553,,,2.5386202335357666,95.40222222222222,,,2.2464325428009033,0.9013888888888887,2.4823620319366455,0.7950000000000002
2lg6,GFP,N,640,2.652268648147583,77.35333333333331,2.4403793811798096,76.605,9.394379615783691,36.26074074074074,2.3182170391082764,77.66342592592594,2.6346116065979004,0.7375000000000002,11.553916931152344,0.15444444444444447
2lg6,GFP,C,640,2.150012731552124,82.83388888888891,2.3803415298461914,79.22833333333331,2.129225730895996,80.29555555555554,1.9926623106002808,80.44222222222223,2.571760416030884,0.7855555555555553,3.378983974456787,0.39083333333333337
2lg6,SUMO,N,640,7.826319694519043,47.78055555555554,2.3324508666992188,85.9825,12.702166557312012,41.02601851851852,2.442690849304199,86.70212962962962,13.140674591064453,0.6202777777777777,9.724722862243652,0.39694444444444443
2lg6,SUMO,C,640,2.4202167987823486,80.2352777777778,2.478167772293091,78.5113888888889,8.084504127502441,47.14361111111111,2.878619909286499,78.20648148148148,12.4194917678833,0.6391666666666665,11.043586730957031,0.3513888888888889
2lg6,GST,N,640,2.389666795730591,81.06861111111114,2.436497449874878,81.06999999999998,8.684618949890137,38.60268518518519,2.210825204849243,81.96166666666667,13.590200424194336,0.3638888888888888,15.420167922973633,0.3072222222222222
2lg6,GST,C,640,3.0717411041259766,72.71666666666668,2.3120038509368896,77.45916666666669,10.52475643157959,33.563240740740746,2.058206558227539,80.4,16.381507873535156,0.4566666666666666,8.835951805114746,0.30944444444444447
2lg6,MBP,N,640,2.0492687225341797,74.83749999999999,2.1065094470977783,77.29555555555555,11.336240768432617,39.38583333333333,2.122140645980835,82.4550925925926,14.153800964355469,0.3322222222222222,5.865882873535156,0.3927777777777777
2lg6,MBP,C,640,2.1355645656585693,71.78333333333333,2.38897967338562,70.51305555555557,13.338507652282715,33.69388888888889,2.210937261581421,78.5851851851852,9.347552299499512,0.32472222222222213,9.240219116210938,0.3088888888888888
2bn6,no_scaffold,,1807,2.5517401695251465,81.94787878787879,,,2.8624532222747803,89.30787878787876,,,3.374802827835083,0.9581818181818184,2.9937238693237305,0.9363636363636364
2bn6,GFP,N,1807,3.4432923793792725,79.37515151515152,3.5236754417419434,78.30333333333333,3.569582223892212,82.40787878787879,3.69038724899292,86.3090909090909,3.584892988204956,0.9318181818181815,2.969703435897827,0.48060606060606076
2bn6,GFP,C,1807,3.3585586547851562,82.03606060606062,3.512226104736328,80.81484848484848,2.9392290115356445,75.23474747474748,2.885808229446411,75.32343434343434,2.821587085723877,0.6815151515151514,2.7353827953338623,0.5109090909090911
2bn6,SUMO,N,1807,2.8040287494659424,83.3539393939394,2.695769786834717,85.04848484848486,3.2316277027130127,87.12040404040403,3.153108835220337,87.03050505050506,3.576744318008423,0.8978787878787876,3.2268266677856445,0.6675757575757577
2bn6,SUMO,C,1807,2.5103096961975098,76.55212121212121,3.207333564758301,76.3478787878788,2.4654979705810547,81.83636363636364,2.437767267227173,81.32616161616161,2.779916524887085,0.854242424242424,2.9214842319488525,0.7539393939393938
